payment_id,utr,settled_amount,settlement_date,fee_deducted,gst_on_fee,linked_order_id
pay_00031MD,UTR000008GCUD,796.51,2026-08-17,2.11,0.38,ORD1070
pay_00031LJ,UTR000008GCTJ,292.04,2026-08-17,2.47,0.44,ORD1040
pay_00031L2,UTR000008GCT2,9895.79,2026-08-11,87.47,15.74,ORD1023
pay_00031N4,UTR000008GCV4,1571.51,2026-08-10,23.3,4.19,ORD1097
pay_00031L8,UTR000008GCT8,3455.86,2026-08-05,36.56,6.58,
pay_00031LH,UTR000008GCTH,4905.61,2026-08-24,77.59,13.97,ORD1038
pay_00031LM,UTR000008GCTM,493.01,2026-08-20,5.08,0.91,ORD1043
pay_00031KT,UTR000008GCST,7425.62,2026-08-11,62.19,11.19,ORD1014
pay_00031LB,UTR000008GCTB,296.46,2026-08-21,2.15,0.39,ORD1032
pay_00031M9,UTR000008GCU9,2456.37,2026-08-07,36.13,6.5,ORD1066
pay_00031KS,UTR000008GCSS,4709.2,2026-08-20,67.63,12.17,ORD1013
pay_00031MB,UTR000008GCUB,1586.63,2026-08-14,10.48,1.89,ORD1068
pay_00031LT,UTR000008GCTT,1587.39,2026-08-24,9.84,1.77,ORD1050
pay_00031LL,UTR000008GCTL,492.4,2026-08-06,5.59,1.01,ORD1042
pay_00031MO,UTR000008GCUO,1289.61,2026-08-11,7.96,1.43,ORD1081
pay_00031KJ,UTR00000SAIO,7438.48,2026-08-06,51.29,9.23,ORD1004
pay_00031KU,UTR000008GCSU,1284.18,2026-08-04,12.56,2.26,ORD1015
pay_00031L1,UTR000008GCT1,791.88,2026-08-05,6.03,1.09,ORD1022
pay_00031LU,UTR000008GCTU,2455.74,2026-08-18,36.66,6.6,ORD1051
pay_00031KV,UTR000008GCSV,3479.67,2026-08-07,16.38,2.95,ORD1016
pay_00031LV,UTR000008GCTV,4962.53,2026-08-04,30.91,5.56,ORD1052
pay_00031LZ,UTR000008GCTZ,2465.64,2026-08-11,28.27,5.09,ORD1056
pay_00031LR,UTR000008GCTR,9965.46,2026-08-17,28.42,5.12,ORD1048
pay_00031MY,UTR000008GCUY,990.23,2026-08-18,7.43,1.34,
pay_00031M8,UTR000008GCU8,789.74,2026-08-10,7.85,1.41,ORD1065
pay_00031N0,UTR000008GCV0,793.63,2026-08-14,4.55,0.82,ORD1093
pay_00031ME,UTR000008GCUE,989.78,2026-08-11,7.81,1.41,ORD1071
pay_00031MX,UTR000008GCUX,294.53,2026-08-10,3.79,0.68,ORD1090
pay_00031KR,UTR000008GCSR,1585.23,2026-08-19,9.1,1.64,ORD1012
pay_00031LW,UTR000008GCTW,4955.25,2026-08-19,37.08,6.67,ORD1053
pay_00031KP,UTR000008GCSP,3442.54,2026-08-20,47.85,8.61,ORD1010
pay_00031KH,UTR000008GCSH,1287.94,2026-08-18,9.37,1.69,ORD1002
pay_00031LP,UTR000008GCTP,114.59,2026-08-13,4.41,0,
pay_00031KK,UTR000008GCSK,3485.13,2026-08-10,14.54,2.62,ORD1005
pay_00031KY,UTR000008GCSY,2441.7,2026-08-04,48.56,8.74,ORD1019
pay_00031MA,UTR000008GCUA,1291.53,2026-08-11,6.33,1.14,ORD1067
pay_00031L9,UTR000008GCT9,1297.95,2026-08-18,17.84,3.21,
pay_00031LK,UTR000008GCTK,7393.84,2026-08-06,89.12,16.04,ORD1041
pay_00031MU,UTR000008GCUU,7370.34,2026-08-07,109.03,19.63,ORD1087
pay_00031MJ,UTR000008GCUJ,1985.13,2026-08-13,11.75,2.12,ORD1076
pay_00031MG,UTR000008GCUG,7396.23,2026-08-27,87.09,15.68,ORD1073
pay_00031MT,UTR00000SAIP,7462.86,2026-08-17,30.63,5.51,ORD1086
pay_00031N7,UTR000008GCV7,1274.67,2026-08-17,24.33,0,ORD1100
pay_00031MC,UTR00000SAIO,7352.08,2026-08-18,124.51,22.41,ORD1069
pay_00031M0,UTR000008GCU0,1972.01,2026-08-06,22.87,4.12,ORD1057
pay_00031KW,UTR000008GCSW,3459.86,2026-08-18,35.61,6.41,ORD1017
pay_00031LA,UTR000008GCTA,790.72,2026-08-05,7.02,1.26,ORD1031
pay_00031M5,UTR000008GCU5,2472.13,2026-08-17,22.77,4.1,ORD1062
pay_00031L5,UTR000008GCT5,9861.2,2026-08-24,116.78,21.02,ORD1026
pay_00031N2,UTR000008GCV2,1582.01,2026-08-05,14.4,2.59,ORD1095
pay_00031LI,UTR000008GCTI,798.28,2026-08-18,3.23,0.58,ORD1039
pay_00031L7,UTR000008GCT7,7071.69,2026-08-05,73.99,13.32,ORD1028
pay_00031N3,UTR000008GCV3,9822.42,2026-08-24,149.64,26.94,ORD1096
pay_00031M2,UTR000008GCU2,3427.1,2026-08-13,61.99,11.16,ORD1059
pay_00031LE,UTR000008GCTE,295.5,2026-08-11,2.97,0.53,ORD1035
pay_00031LS,UTR000008GCTS,1573.49,2026-08-18,25.51,0,ORD1049
